County,Crop,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
,Vårraps,200,240,260,260,430,230,300,260,430,160,140,90,100,90,20,..,70,160
,Höstrybs,..,..,..,..,..,10,10,..,..,..,0,10,0,10,20,..,10,..
,Vårrybs,160,100,..,..,..,20,..,10,10,10,0,..,10,10,..,..,..,..
,Stråsädesgrödor (exkl. majs) till grönfoder,..,..,..,..,.,.,2320,2180,1980,1370,2250,2460,3600,6540,4420,4460,4670,2170
,Majs till grönfoder,..,..,..,..,.,.,3330,3320,3220,2980,2630,3670,4220,4220,5130,5430,5220,5090
,Andra ettåriga grödor till grönfoder,..,..,..,..,.,.,2530,2600,2740,3430,3670,2500,2920,3580,3610,3340,2820,2540
,Oljelin,100,50,40,50,0,90,150,150,70,90,80,90,90,60,40,..,30,60
,Matpotatis,530,490,470,470,480,480,500,500,450,470,430,420,450,400,430,410,420,420
,Potatis för stärkelse,760,740,780,740,710,730,760,640,660,640,700,730,800,910,890,920,1000,930
,Sockerbetor,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,..,..
,"Slåttervall, första skörd",56980,60380,60900,57210,59080,61190,62150,65400,66110,58020,53440,55220,57820,57930,55820,59160,58130,57970
,"Slåttervall, återväxt",..,..,..,..,.,.,.,.,.,.,.,.,.,.,.,59160,.,.
,"Slåttervall, total vallskörd",..,..,..,..,.,.,.,.,.,.,.,.,.,.,.,59160,.,.
09 Gotlands län,Höstvete,6540,5980,5730,6680,6560,6140,9730,8990,6330,9830,9460,11300,11430,7570,12770,12950,13800,14280
,Vårvete,1960,1930,1650,2080,2290,3020,3360,3500,4290,3890,3930,4500,5030,4850,3870,3560,3150,2250
,Råg,760,560,640,790,1010,590,950,890,750,740,690,490,740,570,980,1120,1000,930
,Höstkorn,870,930,1320,2070,3440,2840,2470,1950,2970,3070,3580,3700,4030,2810,3680,3620,3590,3260
,Vårkorn,14400,14010,15430,15740,12980,14360,13270,13660,14380,11740,11810,10420,9580,10690,8250,8950,8730,7880
,Havre,2130,2210,1900,1870,1630,1290,1320,1470,1340,1350,1150,1190,1000,920,1400,1660,1130,760
,Rågvete,4020,3670,3840,4540,5620,2590,1650,2700,2400,2970,.,.,.,.,.,.,600,390
,Höstrågvete,..,..,..,.,.,.,.,.,.,.,2680,1190,860,590,870,1030,530,380
,Vårrågvete,..,..,..,.,.,.,.,.,.,.,0,10,..,0,10,..,70,10
,Blandsäd,..,540,210,400,300,410,630,390,300,240,300,170,140,90,370,..,300,120
,Majs,..,..,0,120,..,30,190,150,0,80,330,150,40,..,..,..,80,80
,Spannmål totalt,..,..,..,..,.,.,.,.,.,.,.,.,.,28080,32200,33040,32380,29960
,Ärter,1170,1060,910,670,920,1470,1150,1010,1280,1270,2170,2640,2320,1920,1800,2160,2360,2210
,Åkerbönor,20,0,30,0,10,90,130,90,230,130,250,290,570,590,330,..,240,330
,Höstraps,1210,1580,2570,3380,3640,3690,3620,4330,4560,4210,4290,4470,5340,4290,3670,3010,3170,4770
,Vårraps,900,1210,880,900,860,1110,1330,1610,1590,800,590,520,530,820,460,..,660,1380
,Höstrybs,..,..,..,30,..,10,..,10,0,10,0,10,0,10,..,..,..,..
,Vårrybs,120,200,120,140,100,60,70,50,40,10,..,0,..,..,..,..,..,..
,Stråsädesgrödor (exkl. majs) till grönfoder,..,..,..,..,.,.,780,900,970,1460,860,1050,930,4340,1250,1450,1840,1210
,Majs till grönfoder,..,..,..,..,.,.,1640,2000,2160,2230,1940,1970,2130,2580,2910,2780,2640,2480
,Andra ettåriga grödor till grönfoder,..,..,..,..,.,.,220,130,190,130,180,200,300,790,520,..,640,700
,Oljelin,80,30,..,..,60,40,20,40,0,..,0,0,0,0,..,..,..,..
,Matpotatis,780,790,870,920,950,950,910,860,870,870,840,950,920,830,950,940,900,940
,Potatis för stärkelse,..,..,..,..,..,10,10,..,..,..,10,..,..,..,0,10,10,20
,Sockerbetor,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,..,..
,"Slåttervall, första skörd",30530,32480,32670,35630,32120,34690,33710,33260,33790,35340,31240,32220,31270,33020,31890,32080,30000,32510
,"Slåttervall, återväxt",..,..,..,..,.,.,.,.,.,.,.,.,.,.,.,32080,.,.
,"Slåttervall, total vallskörd",..,..,..,..,.,.,.,.,.,.,.,.,.,.,.,32080,.,.
10 Blekinge län,Höstvete,1890,1750,1930,1920,2680,2910,2860,3070,3030,3430,3550,4100,3530,2530,3840,3440,3930,3140
,Vårvete,1000,970,800,1210,1020,960,1170,1280,1130,1020,1130,960,1020,1370,890,1020,1060,1010
,Råg,140,120,120,160,210,130,110,140,230,190,140,90,70,80,160,..,110,130
,Höstkorn,100,80,160,240,390,390,320,230,310,240,320,270,370,280,320,..,540,400
,Vårkorn,4080,3730,3660,4760,3700,3220,3390,3650,3330,3350,3130,2900,3020,3590,2490,2680,2600,2980
,Havre,1160,960,920,1040,820,650,610,660,700,690,560,580,630,440,370,..,570,500
,Rågvete,1000,1200,980,880,1160,950,590,440,540,600,.,.,.,.,.,.,550,540
,Höstrågvete,..,..,..,.,.,.,.,.,.,.,630,580,470,260,670,750,520,520
