,Time,Municipality,Impact variable,Hazard variable,Impact value,Hazard value,Trend,Observed anomalies,Predicted anomalies,Aggregation,Best_Degree
90851,2009,Umeå,hydro_prod,HWI,2312358.0,-2.8757866187426546,Linear,6.688774909935574,0.17370177238242082,10,1
90852,2010,Umeå,hydro_prod,HWI,2272363.0,0.9402336936860156,Linear,3.618319908983658,0.01835638599911197,10,1
90853,2011,Umeå,hydro_prod,HWI,2605969.0,1.2819857620145094,Linear,17.457991592838074,0.004444089219958695,10,1
90854,2012,Umeå,hydro_prod,HWI,2928646.0,0.0936469158839827,Linear,30.494629352355883,0.05281986872123532,10,1
90855,2013,Umeå,hydro_prod,HWI,2091774.0,1.2317390416718053,Linear,-7.84697806794879,0.006489569994971564,10,1
90856,2014,Umeå,hydro_prod,HWI,2136114.5,1.7761111096130606,Linear,-6.944131132752256,-0.015671132073407652,10,1
90857,2015,Umeå,hydro_prod,HWI,2180455.0,1.2264564835012182,Linear,-6.061219791083798,0.006704616292662752,10,1
90858,2016,Umeå,hydro_prod,HWI,2224795.5,0.0342853276909,Linear,-5.197590962080135,0.055236404299976075,10,1
90859,2017,Umeå,hydro_prod,HWI,2269136.0,-0.291276004983529,Linear,-4.352619782910745,0.06848959659852191,10,1
90860,2018,Umeå,hydro_prod,HWI,2313476.5,5.486389979620037,Linear,-3.525708101026443,-0.16671191735796814,10,1
90861,2019,Umeå,hydro_prod,HWI,2357817.0,-0.126613412247897,Linear,-2.71628306205864,0.061786389593024,10,1
90862,2020,Umeå,hydro_prod,HWI,2474932.5,1.4193350736996064,Linear,1.0474897191250503,-0.0011472284739514407,10,1
90863,2021,Umeå,hydro_prod,HWI,2592048.0,1.4051229364996085,Linear,4.733318538665855,-0.0005686702473414879,10,1
90864,2022,Umeå,hydro_prod,HWI,2668672.0,1.1868018585088018,Linear,6.724282662236446,0.008318906190771698,10,1
90865,2005,Uppvidinge,hydro_prod,HWI,1749.0,1.998316838187839,Linear,-36.88754897957412,0.36572365489447134,10,1
90866,2006,Uppvidinge,hydro_prod,HWI,2295.0,2.007590491089841,Linear,-18.05377684178213,0.3745245374726056,10,1
90867,2008,Uppvidinge,hydro_prod,HWI,3345.0,0.458582270290686,Linear,16.9840744567354,-1.0955153279266185,10,1
90868,2009,Uppvidinge,hydro_prod,HWI,2045.0,-0.696862359471852,Linear,-29.2078104866248,-2.1920554528951435,10,1
90869,2010,Uppvidinge,hydro_prod,HWI,2958.0,-0.5004421355178919,Linear,1.3669823554404017,-2.0056487213453282,10,1
90870,2011,Uppvidinge,hydro_prod,HWI,3871.0,2.4820610882328085,Linear,31.332387944770275,0.824806649209942,10,1
90871,2012,Uppvidinge,hydro_prod,HWI,3735.0,1.065814815992167,Linear,25.467929017947853,-0.5192394645948541,10,1
90872,2013,Uppvidinge,hydro_prod,HWI,3564.0,2.582221793130574,Linear,18.55382162561249,0.9198611667839289,10,1
90873,2014,Uppvidinge,hydro_prod,HWI,3848.0,2.696027423951203,Linear,26.76230534314342,1.027864992694497,10,1
90874,2015,Uppvidinge,hydro_prod,HWI,3556.0,0.5133155632536374,Linear,16.020487253074027,-1.0435723352815551,10,1
90875,2016,Uppvidinge,hydro_prod,HWI,3211.5,0.3340552254073048,Linear,3.785962035595531,-1.2136939907903224,10,1
90876,2017,Uppvidinge,hydro_prod,HWI,2867.0,2.8174361101823093,Linear,-8.218474172939844,1.143084270661527,10,1
90877,2018,Uppvidinge,hydro_prod,HWI,2846.0,2.531684983087328,Linear,-9.739492669055476,0.8719007205860692,10,1
90878,2019,Uppvidinge,hydro_prod,HWI,2914.0,1.5024222870459685,Linear,-8.435863009525814,-0.10489021882448823,10,1
90879,2020,Uppvidinge,hydro_prod,HWI,2914.0,2.2040185153040177,Linear,-9.27324270262961,0.5609386716257934,10,1
90880,2021,Uppvidinge,hydro_prod,HWI,2914.0,2.03636158486369,Linear,-10.095445052858343,0.401828882440431,10,1
90881,2022,Uppvidinge,hydro_prod,HWI,2914.0,2.817886067439038,Linear,-10.902878983930488,1.1435112891216197,10,1
